serve,cluster,vx0,vy0,vz0,wx0,wy0,wz0,vhx,vhy,vhz,whx,why,whz,pred_y,pred_z,pred_t,true_y,true_z,true_t,n_frames,pred_oracle_y,pred_oracle_z
30,topspin,6.0822,0.1888,0.8808,-7.62,355.2,-7.55,6.0288,0.1795,0.8987,-1100.0,332.5408,61.4358,0.283,0.1291,0.4989,0.0707,0.1958,0.4808,35,0.0665,0.1801
32,backspin,5.0723,-0.167,0.8856,-2.11,-211.03,19.54,5.1083,-0.1512,0.9668,57.7778,-154.4716,29.5241,-0.0799,0.1407,0.6468,-0.057,0.1635,0.6482,47,-0.0577,0.1547
33,topspin,5.7922,0.1558,0.9145,22.72,280.14,21.54,5.7593,0.3263,0.9538,1100.0,357.3409,-145.5471,-0.1556,0.1238,0.5204,0.0562,0.1946,0.512,37,0.1227,0.1751
34,flat,4.8476,0.1508,0.99,22.27,-14.36,-42.22,4.8518,-0.0351,1.1544,-717.2773,107.0867,111.4282,0.3528,0.1077,0.6342,-0.0139,0.0626,0.7119,44,-0.0994,0.0847
35,backspin,4.8544,-0.1936,0.8753,12.6,-287.53,-52.75,4.889,0.0459,0.8692,892.7359,-346.2877,-197.0952,-0.3401,0.1395,0.6408,-0.1795,0.1541,0.6793,49,-0.0611,0.1353
36,topspin,6.0768,-0.1854,0.9417,0.58,295.58,-37.84,6.0258,-0.1457,1.0779,202.7483,362.7476,-81.149,-0.2846,0.1833,0.4792,-0.1019,0.1999,0.4896,37,-0.0843,0.184
37,flat,5.5665,0.0547,0.7741,7.59,18.16,10.16,5.5533,-0.1383,0.7793,-1100.0,-18.6936,217.4004,0.2871,0.1271,0.5537,0.0244,0.1382,0.6013,40,-0.0627,0.1136
38,backspin,5.2428,-0.0864,0.8944,-13.3,-223.16,-19.57,5.2321,-0.2125,0.9086,-587.8059,-173.8943,74.4958,0.0978,0.1634,0.5952,-0.0477,0.1791,0.6192,48,-0.1225,0.165
39,topspin,5.2294,0.0754,0.8037,-20.89,365.52,-2.24,5.2128,-0.149,0.6876,-1100.0,290.0822,267.9256,0.4385,0.0342,0.586,0.0559,0.1605,0.5392,35,-0.03,0.1422
40,flat,5.1033,-0.0217,0.9143,11.15,17.53,2.03,5.1054,0.1983,0.82,582.8361,-25.9804,-140.2791,-0.263,0.1225,0.6123,-0.0269,0.0907,0.6702,42,0.0698,0.0541
41,backspin,5.13,0.1653,0.8254,-33.01,-254.22,-49.22,5.1422,0.032,0.8092,61.337,-241.6079,24.1631,0.0326,0.1493,0.6329,0.0658,0.1668,0.6347,48,-0.0212,0.1515
42,topspin,5.4722,-0.0851,0.8644,20.0,331.88,-29.31,5.464,-0.1792,0.8257,446.0314,318.9116,39.6094,-0.2653,0.1269,0.5424,-0.0832,0.1812,0.5262,36,-0.1202,0.1608
43,flat,5.1596,-0.2112,0.9408,0.72,18.4,0.96,5.1925,-0.0718,0.7557,494.6837,-128.0883,-116.6028,-0.3368,0.1274,0.6151,-0.1018,0.1133,0.6602,43,-0.0382,0.0481
44,backspin,4.665,0.2032,0.8038,-15.64,-212.11,-17.11,4.7232,0.1707,0.7926,332.4758,-183.8769,-9.2452,-0.0661,0.075,0.69,0.1155,0.0581,0.726,45,0.0881,0.0525
45,topspin,5.4059,-0.0326,0.971,-0.11,277.01,43.05,5.3593,0.0089,0.7595,1100.0,134.7092,-22.1504,-0.1674,0.1077,0.5662,0.0259,0.1867,0.5459,38,0.0428,0.1478
46,flat,5.6728,0.1382,0.9564,5.68,-58.41,6.26,5.6987,0.0735,1.0287,-519.3801,-47.7044,54.0119,0.2088,0.1736,0.5459,0.0615,0.1875,0.5745,45,0.036,0.1759
47,backspin,5.015,0.1287,0.7882,-4.04,-236.24,29.7,5.0274,0.0052,0.7888,-777.0748,-225.0958,141.1535,0.3056,0.1287,0.6229,0.1037,0.1435,0.658,46,0.0445,0.1293
48,topspin,6.1862,-0.1871,0.7961,-8.33,314.42,-45.42,6.2254,-0.0535,0.6535,892.5911,216.3934,-238.6069,-0.396,0.1392,0.4927,-0.0969,0.1926,0.4782,34,-0.0434,0.1768
49,flat,5.9961,0.2196,0.9608,10.03,23.3,5.39,5.9859,0.1887,0.9792,535.8708,60.8338,3.2543,-0.0263,0.1749,0.5131,0.0871,0.1903,0.5427,43,0.0841,0.178
50,backspin,4.7476,0.1297,0.9015,22.68,-210.55,-1.46,4.7256,0.3223,0.8512,974.4251,-207.0171,-153.2955,-0.155,0.1175,0.6538,0.0301,0.1117,0.7075,47,0.1604,0.0803
51,topspin,5.6617,-0.2333,0.9611,7.6,332.7,-8.65,5.6567,-0.3894,0.957,-1100.0,391.8721,181.5036,0.172,0.112,0.5298,-0.1067,0.1936,0.5158,37,-0.1688,0.1778
52,flat,5.666,-0.0593,0.9577,-5.89,13.18,-5.53,5.6637,-0.2445,0.9607,-1100.0,37.7186,135.8699,0.1362,0.1597,0.5368,-0.0246,0.1808,0.5828,43,-0.1068,0.1644
53,backspin,5.2083,0.2465,0.7796,-12.82,-199.04,-19.26,5.1515,0.6474,0.6238,815.2972,-206.6659,-295.8564,-0.1423,0.1363,0.5982,0.1131,0.1563,0.6302,45,0.2978,0.1139
54,topspin,5.3357,-0.2041,0.997,-4.7,305.94,4.79,5.4065,-0.0859,1.1102,80.9905,386.725,-77.2373,-0.1956,0.1826,0.5205,-0.0753,0.1913,0.5425,38,-0.035,0.1794
